,collectionCode,thingType,tenant,index,entity_key_name,hash
166,/MOJIXQA/DISCREPANCYEXEC,DISCREPANCYEXEC,MOJIXQA,830,288d5f6162e0b34a898356d9d9fd3fa3,hash
167,/MOJIXB/TAGIT_PRINTER,TAGIT_PRINTER,MOJIXB,702,28b4cb0059f1802c43f8d1f088cf93aa,hash
168,/CENT/RECEIVINGCONFIG,RECEIVINGCONFIG,CENT,169,28c48ba06f0e7eeee1b93b5031b4f125,hash
169,/TOSCA/ATTRIBUTE,ATTRIBUTE,TOSCA,1106,29021b962a3be575d5812e978b9dcea1,hash
170,/FALAPE/ITEMSTATUSESLIFECYCLE,ITEMSTATUSESLIFECYCLE,FALAPE,481,296e01794ada02c7faf41a03c601ac44,hash
171,/TOSCA/SOH,SOH,TOSCA,1089,29ed096c05f5216dbf6226fa79a7c5ff,hash
172,/MOJIX/WEBVIEW_UPDATEINVENTORY,WEBVIEW_UPDATEINVENTORY,MOJIX,647,2a5806490e127eee5589b4397a35a377,hash
173,/FALACO/DISCREPANCY,DISCREPANCY,FALACO,397,2a5d602d485cd5c87e337ff275e3c0de,hash
174,/MOJIXB/DISCREPANCY,DISCREPANCY,MOJIXB,673,2a6e23f37ba05e2bf2f908f9bcd92094,hash
175,/MOJIX/READERCONFIGURATION,READERCONFIGURATION,MOJIX,625,2abc6d53f4187bbf9cb345fe5ebc642a,hash
176,/IKEA/RULE,RULE,IKEA,575,2b0b310c060b96e1f8c0af1d2b71f764,hash
177,/PE/EPCSEQUENCETHING,EPCSEQUENCETHING,PE,888,2b2981e63306f6b2787fdcccba45b7e8,hash
178,/FALABELLAPE/BIZTRANSACTIONTYPE,BIZTRANSACTIONTYPE,FALABELLAPE,358,2b8971d5106c1dd872f06a7845855946,hash
179,/MOJIXQA/DISCREPANCYLEVEL1,DISCREPANCYLEVEL1,MOJIXQA,831,2c2625d350ce440537def98ccbc42c0d,hash
180,/MOJIXC/ATTRIBUTE,ATTRIBUTE,MOJIXC,736,2c77fd815f2caffbbb17d5d37cc6ce63,hash
181,/MOJIX/DEFECT,DEFECT,MOJIX,654,2cc711bfcafce1160d332cfd1e5526ec,hash
182,/IKEA/STOCK,STOCK,IKEA,572,2cd5ece75c14e383aeced2f79662dbcd,hash
